year,team_id,team_name,owner_ids,owner_names,points_for,points_against,projected_for,projected_against,wins,losses,ties,championship_appearance,championship_win
2014,1,Psycho Monkey Poo Flingers2,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,82.0,97.0,0.0,0.0,0,1,0,0,0
2014,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,0.0,0.0,0.0,0.0,0,0,0,0,0
2014,3,The Brown Limes,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,0.0,0.0,0.0,0.0,0,0,0,0,0
2014,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,163.0,201.0,0.0,0.0,1,1,0,1,0
2014,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,60.0,97.0,0.0,0.0,0,1,0,0,0
2014,6,Detroit Ballas,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,0.0,0.0,0.0,0.0,0,0,0,0,0
2014,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,150.0,204.0,0.0,0.0,1,1,0,0,0
2014,8,Team Bandwagon,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,263.0,119.0,0.0,0.0,2,0,0,1,1
2014,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,0.0,0.0,0.0,0.0,0,0,0,0,0
2014,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,0.0,0.0,0.0,0.0,0,0,0,0,0
2015,1,Mimsy's Nut Biters,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,0.0,0.0,0.0,0.0,0,0,0,0,0
2015,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,147.0,172.0,0.0,0.0,1,1,0,1,0
2015,3,Midget JesÃºs,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,0.0,0.0,0.0,0.0,0,0,0,0,0
2015,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,0.0,0.0,0.0,0.0,0,0,0,0,0
2015,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,179.0,129.0,0.0,0.0,1,1,0,0,0
2015,6,Dez Caught it,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,0.0,0.0,0.0,0.0,0,0,0,0,0
2015,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,0.0,0.0,0.0,0.0,0,0,0,0,0
2015,8,Team Dubnation,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,41.0,94.0,0.0,0.0,0,1,0,0,0
2015,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,82.0,88.0,0.0,0.0,0,1,0,0,0
2015,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,175.0,141.0,0.0,0.0,2,0,0,1,1
2015,11,The  Legends,"{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE}, {CB8801B1-2DC9-47DB-9752-626600865D83}","Brett, Connor",0.0,0.0,0.0,0.0,0,0,0,0,0
2015,12,Ruddy Ducks,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,0.0,0.0,0.0,0.0,0,0,0,0,0
2016,1,Easy Breesey,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,293.0,230.0,0.0,0.0,3,0,0,1,1
2016,2,Goat Rom Bronkowski,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,0.0,0.0,0.0,0.0,0,0,0,0,0
2016,3,Treeout Gold,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,0.0,0.0,0.0,0.0,0,0,0,0,0
2016,4,Green is done So is my team ,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,63.0,104.0,0.0,0.0,0,1,0,0,0
2016,5,R I P,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,0.0,0.0,0.0,0.0,0,0,0,0,0
2016,6,GRONK if  You Love Bell,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,74.0,77.0,0.0,0.0,0,1,0,0,0
2016,7,Stafford forMVP OBJs a whore,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,0.0,0.0,0.0,0.0,0,0,0,0,0
2016,8,Hiltonhead Sharks,{8E76C98C-033D-48E5-8735-71752E421497},Carson,0.0,0.0,0.0,0.0,0,0,0,0,0
2016,9,Harambe's Still Alive,{4E3A897B-4C6E-4A17-BA89-7B4C6E1A1789},Will,0.0,0.0,0.0,0.0,0,0,0,0,0
2016,10,QB 1,{6248D1D4-C58C-4253-9C9B-D30AB9524116},Brett,174.0,188.0,0.0,0.0,1,1,0,1,0
2016,11,I LOVE  STAFFORD,{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE},Connor,0.0,0.0,0.0,0.0,0,0,0,0,0
2016,12,Ruddy Ducks,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,70.0,75.0,0.0,0.0,0,1,0,0,0
2017,1,The Empire Strikes Back,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,101.88,130.78,0.0,0.0,0,1,0,0,0
2017,2, Madden Boujee,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,0.0,0.0,0.0,0.0,0,0,0,0,0
2017,3,Lil Uzi Ertz,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,0.0,0.0,0.0,0.0,0,0,0,0,0
2017,4,I  GIVE UP,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,0.0,0.0,0.0,0.0,0,0,0,0,0
2017,5,He Has Risen,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,96.4,118.96,0.0,0.0,0,1,0,0,0
2017,6,Dez  Caught it,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,211.14,195.54,0.0,0.0,1,1,0,1,0
2017,7,Survive And Advance,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,0.0,0.0,0.0,0.0,0,0,0,0,0
2017,8,Bart's Starrs,{120EBF0B-960F-4C32-8EBF-0B960FEC32D1},Nick,0.0,0.0,0.0,0.0,0,0,0,0,0
2017,10,King of  The North,{6248D1D4-C58C-4253-9C9B-D30AB9524116},Brett,267.84000000000003,196.28,0.0,0.0,2,0,0,1,1
2017,11,Gay Seaturtle,{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE},Connor,0.0,0.0,0.0,0.0,0,0,0,0,0
2017,12,Hooked on A Thielen,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,177.44,213.14,0.0,0.0,1,1,0,0,0
2017,13,Fratboi Carti,{2615CE14-DE41-462C-A141-C106A137008F},Will,0.0,0.0,0.0,0.0,0,0,0,0,0
2018,1,Class Acts,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,202.5,169.38,0.0,0.0,1,1,0,1,0
2018,2,hearts on all my cardis,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,0.0,0.0,0.0,0.0,0,0,0,0,0
2018,3,Lil Lucifer,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,0.0,0.0,0.0,0.0,0,0,0,0,0
2018,4,Big Fella,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,73.46,104.42,0.0,0.0,0,1,0,0,0
2018,5,Joeys Thielen Gurley n Chubby,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,301.32,248.32,0.0,0.0,3,0,0,1,1
2018,6,Detroit Ballas,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,74.5,95.38,0.0,0.0,0,1,0,0,0
2018,7,Not Last Place,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,0.0,0.0,0.0,0.0,0,0,0,0,0
2018,8,Bart's Starrs,{120EBF0B-960F-4C32-8EBF-0B960FEC32D1},Nick,67.86,102.14,0.0,0.0,0,1,0,0,0
2018,10,King of  The North,{6248D1D4-C58C-4253-9C9B-D30AB9524116},Brett,0.0,0.0,0.0,0.0,0,0,0,0,0
2018,11,Lego Batman,{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE},Connor,0.0,0.0,0.0,0.0,0,0,0,0,0
2018,12,Matt Prater,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,0.0,0.0,0.0,0.0,0,0,0,0,0
2018,13,Down Syndrome Ape,{2615CE14-DE41-462C-A141-C106A137008F},Will,0.0,0.0,0.0,0.0,0,0,0,0,0
2019,1,Year 6 is a Feel Out Year,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,0.0,0.0,0.0,0.0,0,0,0,0,0
2019,2,Chub’s  for Chubb,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,74.6,117.64,96.19999999999999,105.33,0,1,0,0,0
2019,3,Lil Lucifer,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,104.54,113.1,97.65,112.69999999999999,0,1,0,0,0
2019,4,Big Fella,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,204.64,207.54000000000002,204.24,200.65,1,1,0,1,0
2019,5,. .,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,0.0,0.0,0.0,0.0,0,0,0,0,0
2019,6,Is my team Finna show up,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,0.0,0.0,0.0,0.0,0,0,0,0,0
2019,7,Big Baller Shot Caller,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,0.0,0.0,0.0,0.0,0,0,0,0,0
2019,8,Bart's Starrs,{120EBF0B-960F-4C32-8EBF-0B960FEC32D1},Nick,0.0,0.0,0.0,0.0,0,0,0,0,0
2019,10,King of  The North,{6248D1D4-C58C-4253-9C9B-D30AB9524116},Brett,84.36,125.02,105.72,108.28,0,1,0,0,0
2019,11,Lego Batman,{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE},Connor,0.0,0.0,0.0,0.0,0,0,0,0,0
2019,12,Last Place U,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,345.65999999999997,250.5,316.61,293.46,3,0,0,1,1
2019,13,Dak = 🐐,{3702423F-DDE1-4F68-B13D-4597B2FBDC9B},Nabil,0.0,0.0,0.0,0.0,0,0,0,0,0
2020,1,Year 7 is a Feel Out Year,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,0.0,0.0,0.0,0.0,0,0,0,0,0
2020,2,"Lights, Kamara, Action",{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,414.08000000000004,338.08000000000004,407.58000000000004,346.15,3,0,0,1,1
2020,3,Cook and  Steel,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,112.4,143.46,116.49000000000001,130.34,0,1,0,0,0
2020,4,Director  of Fantasy,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,107.96,111.72,111.94,118.34,0,1,0,0,0
2020,5,Beast Zeke,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,0.0,0.0,0.0,0.0,0,0,0,0,0
2020,6,Alice's  All stars ,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,113.96,139.26,119.69,101.89999999999998,0,1,0,0,0
2020,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,0.0,0.0,0.0,0.0,0,0,0,0,0
2020,8,Bart's Starrs,{120EBF0B-960F-4C32-8EBF-0B960FEC32D1},Nick,0.0,0.0,0.0,0.0,0,0,0,0,0
2020,10,King of  The North,{6248D1D4-C58C-4253-9C9B-D30AB9524116},Brett,0.0,0.0,0.0,0.0,0,0,0,0,0
2020,11,Lego Batman,{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE},Connor,0.0,0.0,0.0,0.0,0,0,0,0,0
2020,12,Last Place U,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,0.0,0.0,0.0,0.0,0,0,0,0,0
2020,13,Patrick's Mahomo's,{3702423F-DDE1-4F68-B13D-4597B2FBDC9B},Nabil,256.98,272.86,219.61999999999998,278.59000000000003,1,1,0,1,0
2021,1,Real Football Team,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,0.0,0.0,0.0,0.0,0,0,0,0,0
2021,2,Christian Mingle,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,0.0,0.0,0.0,0.0,0,0,0,0,0
2021,3,CeeDees Pitts,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,0.0,0.0,0.0,0.0,0,0,0,0,0
2021,4,Mikeys Midgets,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,88.94,159.88,145.15,131.22,0,1,0,0,0
2021,5,Stafford is a  Fraud,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,105.38,127.56,130.03,145.79,0,1,0,0,0
2021,6,Draken Dragons,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,0.0,0.0,0.0,0.0,0,0,0,0,0
2021,7,Piss Dawgs,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,0.0,0.0,0.0,0.0,0,0,0,0,0
2021,8,Bart's Starrs,{120EBF0B-960F-4C32-8EBF-0B960FEC32D1},Nick,398.42,348.34000000000003,360.99,451.25,2,1,0,1,0
2021,10,King of  The North,{6248D1D4-C58C-4253-9C9B-D30AB9524116},Brett,92.94,133.72,139.64,124.95000000000002,0,1,0,0,0
2021,11,Lego Batman,{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE},Connor,0.0,0.0,0.0,0.0,0,0,0,0,0
2021,12,Last Place U,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,0.0,0.0,0.0,0.0,0,0,0,0,0
2021,13,Praise Godwin,{3702423F-DDE1-4F68-B13D-4597B2FBDC9B},Nabil,294.02,210.2,312.25,234.85,2,0,0,1,1
2022,1,Real Football Team,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,122.22,136.34,116.86,134.37,0,1,0,0,0
2022,2,D'Andre 3000,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,0.0,0.0,0.0,0.0,0,0,0,0,0
2022,3,Partners in Flaw,"{5B91BA7E-444A-403C-91BA-7E444AA03C4A}, {D96E6F84-EC60-4EA4-8672-B92B97A2C2FD}",Cameron,0.0,0.0,0.0,0.0,0,0,0,0,0
2022,4,Reg  Szn Merch,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,103.0,108.26,137.29,138.75,0,1,0,0,0
2022,5,pp poopoo,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,269.76,228.42000000000002,281.28000000000003,244.84,2,0,0,1,1
2022,6,Deandre Is back...,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,215.42000000000002,248.06,245.91,282.35,1,1,0,1,0
2022,7,Piss Dawgs,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,0.0,0.0,0.0,0.0,0,0,0,0,0
2022,8,Bart's Starrs,{120EBF0B-960F-4C32-8EBF-0B960FEC32D1},Nick,0.0,0.0,0.0,0.0,0,0,0,0,0
2022,10,King of  The North,{6248D1D4-C58C-4253-9C9B-D30AB9524116},Brett,257.6,246.92000000000002,272.05,253.08000000000004,1,1,0,0,0
2022,11,Lego Batman,{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE},Connor,0.0,0.0,0.0,0.0,0,0,0,0,0
2022,12,Last Place U,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,0.0,0.0,0.0,0.0,0,0,0,0,0
2022,13,Praise Godwin(6-5),{3702423F-DDE1-4F68-B13D-4597B2FBDC9B},Nabil,0.0,0.0,0.0,0.0,0,0,0,0,0
2023,1,The Art of War by Sun Tzu,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,121.0,168.28,132.52,135.98,0,1,0,0,0
2023,2,Dont doubt El Jefe,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,0.0,0.0,0.0,0.0,0,0,0,0,0
2023,3,Partners in Flaw,"{5B91BA7E-444A-403C-91BA-7E444AA03C4A}, {D96E6F84-EC60-4EA4-8672-B92B97A2C2FD}",Cameron,328.74,229.78,296.44,241.3,2,0,0,1,1
2023,4,Reg  Szn Merch,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,0.0,0.0,0.0,0.0,0,0,0,0,0
2023,5,pp poopoo,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,121.04,171.06,137.1,140.13,0,1,0,0,0
2023,6,THE RETURN OF JT,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,0.0,0.0,0.0,0.0,0,0,0,0,0
2023,7,Fantasy Bball Champ,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,0.0,0.0,0.0,0.0,0,0,0,0,0
2023,8,Bart's Starrs,{120EBF0B-960F-4C32-8EBF-0B960FEC32D1},Nick,0.0,0.0,0.0,0.0,0,0,0,0,0
2023,10,King of  The North,{6248D1D4-C58C-4253-9C9B-D30AB9524116},Brett,280.72,267.18,264.95,280.94999999999993,1,1,0,0,0
2023,11,Baby Back Gibbs,{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE},Connor,0.0,0.0,0.0,0.0,0,0,0,0,0
2023,12,Last Place U,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,0.0,0.0,0.0,0.0,0,0,0,0,0
2023,13,Tush Push Merchant,{3702423F-DDE1-4F68-B13D-4597B2FBDC9B},Nabil,254.92,270.12,252.62999999999997,285.28000000000003,1,1,0,1,0
2024,1,The Art of War by Sun Tzu,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,263.44,283.65999999999997,256.14,262.96999999999997,1,1,0,0,0
2024,2,Himmy Gibby,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,0.0,0.0,0.0,0.0,0,0,0,0,0
2024,3,Partners in Flaw,"{5B91BA7E-444A-403C-91BA-7E444AA03C4A}, {D96E6F84-EC60-4EA4-8672-B92B97A2C2FD}",Cameron,116.38,138.62,132.35999999999999,153.78,0,1,0,0,0
2024,4,AR-5 is a fraud,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,108.5,113.76,130.52999999999997,130.84,0,1,0,0,0
2024,5,Smokepurp in 2018,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,0.0,0.0,0.0,0.0,0,0,0,0,0
2024,6,The 2020 all pro team,"{29D183EA-E761-43C0-93A4-6C47CA2926D7}, {ED2967D6-F92F-447A-A967-D6F92F147A25}",Chris,333.1,285.54,290.38,261.15999999999997,2,0,0,1,1
2024,7,Fantasy Bball Champ,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,0.0,0.0,0.0,0.0,0,0,0,0,0
2024,8,Bart's Starrs,{120EBF0B-960F-4C32-8EBF-0B960FEC32D1},Nick,0.0,0.0,0.0,0.0,0,0,0,0,0
2024,10,King of  The North,{6248D1D4-C58C-4253-9C9B-D30AB9524116},Brett,0.0,0.0,0.0,0.0,0,0,0,0,0
2024,11,Joe Burrow,{45F320B7-A9EA-42AD-BEEA-AE97F33A55FE},Connor,0.0,0.0,0.0,0.0,0,0,0,0,0
2024,12,Last Place U,{207DC893-5A3A-4A1B-BDC8-935A3AAA1B0B},Marco,274.48,274.32,289.64,290.29999999999995,1,1,0,1,0
2024,13,Justice for Tyreek ,{3702423F-DDE1-4F68-B13D-4597B2FBDC9B},Nabil,0.0,0.0,0.0,0.0,0,0,0,0,0
